version,entity_name,entity_kind,attributes
9.1,pg_rewrite,Table,"{""(oid,oid)"",""(rulename,name)"",""(ev_class,oid)"",""(ev_attr,smallint)"",""(ev_type,\""\""\""char\""\""\"")"",""(ev_enabled,\""\""\""char\""\""\"")"",""(is_instead,boolean)"",""(ev_qual,pg_node_tree)"",""(ev_action,pg_node_tree)""}"
9.1,pg_seclabel,Table,"{""(objoid,oid)"",""(classoid,oid)"",""(objsubid,integer)"",""(provider,text)"",""(label,text)""}"
9.1,pg_shdepend,Table,"{""(dbid,oid)"",""(classid,oid)"",""(objid,oid)"",""(objsubid,integer)"",""(refclassid,oid)"",""(refobjid,oid)"",""(deptype,\""\""\""char\""\""\"")""}"
9.1,pg_shdescription,Table,"{""(objoid,oid)"",""(classoid,oid)"",""(description,text)""}"
9.1,pg_statistic,Table,"{""(starelid,oid)"",""(staattnum,smallint)"",""(stainherit,boolean)"",""(stanullfrac,real)"",""(stawidth,integer)"",""(stadistinct,real)"",""(stakind1,smallint)"",""(stakind2,smallint)"",""(stakind3,smallint)"",""(stakind4,smallint)"",""(staop1,oid)"",""(staop2,oid)"",""(staop3,oid)"",""(staop4,oid)"",""(stanumbers1,real[])"",""(stanumbers2,real[])"",""(stanumbers3,real[])"",""(stanumbers4,real[])"",""(stavalues1,anyarray)"",""(stavalues2,anyarray)"",""(stavalues3,anyarray)"",""(stavalues4,anyarray)""}"
9.1,pg_tablespace,Table,"{""(oid,oid)"",""(spcname,name)"",""(spcowner,oid)"",""(spclocation,text)"",""(spcacl,aclitem[])"",""(spcoptions,text[])""}"
9.1,pg_trigger,Table,"{""(oid,oid)"",""(tgrelid,oid)"",""(tgname,name)"",""(tgfoid,oid)"",""(tgtype,smallint)"",""(tgenabled,\""\""\""char\""\""\"")"",""(tgisinternal,boolean)"",""(tgconstrrelid,oid)"",""(tgconstrindid,oid)"",""(tgconstraint,oid)"",""(tgdeferrable,boolean)"",""(tginitdeferred,boolean)"",""(tgnargs,smallint)"",""(tgattr,int2vector)"",""(tgargs,bytea)"",""(tgqual,pg_node_tree)""}"
9.1,pg_ts_config,Table,"{""(oid,oid)"",""(cfgname,name)"",""(cfgnamespace,oid)"",""(cfgowner,oid)"",""(cfgparser,oid)""}"
9.1,pg_ts_config_map,Table,"{""(mapcfg,oid)"",""(maptokentype,integer)"",""(mapseqno,integer)"",""(mapdict,oid)""}"
9.1,pg_ts_dict,Table,"{""(oid,oid)"",""(dictname,name)"",""(dictnamespace,oid)"",""(dictowner,oid)"",""(dicttemplate,oid)"",""(dictinitoption,text)""}"
9.1,pg_ts_parser,Table,"{""(oid,oid)"",""(prsname,name)"",""(prsnamespace,oid)"",""(prsstart,regproc)"",""(prstoken,regproc)"",""(prsend,regproc)"",""(prsheadline,regproc)"",""(prslextype,regproc)""}"
